Distance_(pixels),Gray_Value
0,7.4087
1,7.3810
2,7.6349
3,7.9722
4,8.6071
5,8.5317
6,8.2381
7,8.4563
8,9.0278
9,10.0159
10,12.8730
11,14.7817
12,16.4802
13,17.6310
14,18.7976
15,20.2619
16,21.3254
17,21.9524
18,22.2659
19,24.9444
20,28.5556
21,31.0675
22,32.6984
23,33.5635
24,34.6190
25,35.8373
26,38.9127
27,39.4722
28,39.8254
29,39.7183
30,39.4484
31,39.1071
32,39.0873
33,39.4246
34,38.5754
35,38.8571
36,39.1627
37,38.9206
38,38.2897
39,37.3373
40,36.7063
41,35.9683
42,34.8175
43,33.8810
44,32.9563
45,31.9762
46,32.5198
47,33.5675
48,33.6429
49,32.5556
50,30.9444
51,29.8770
52,28.7341
53,27.7421
54,27.0913
55,26.6389
56,26.3135
57,25.8571
58,24.8968
59,23.5516
60,22.4722
61,22.1548
62,22.5873
63,23.0714
64,23.1349
65,22.9484
66,22.2183
67,21.1270
68,21.0357
69,21.4881
70,21.4484
71,21.3294
72,20.9762
73,20.4405
74,20.2460
75,20.6468
76,21.4841
77,22.3135
78,22.8056
79,22.6984
80,22.2381
81,21.7341
82,21.9127
83,23.0278
84,25.0754
85,26.9683
86,28.6865
87,29.5635
88,29.9762
89,30.1706
90,30.7540
91,31.7024
92,33.2183
93,34.5159
94,35.8333
95,37.5278
96,39.7619
97,41.5397
98,42.4524
99,43.3690
100,45.1230
101,47.0754
102,49.1508
103,50.7381
104,51.9167
105,52.8730
106,53.9603
107,55.6825
108,58.6230
109,62.4881
110,67.6508
111,72.6111
112,75.3373
113,75.6111
114,74.0079
115,75.8611
116,78.5992
117,79.9921
118,80.5476
119,80.3135
120,80.0635
121,80.4841
122,81.8690
123,79.9841
124,78.4087
125,78.4921
126,79.7579
127,80.6984
128,81.2857
129,81.3452
130,79.4405
131,77.7619
132,75.7579
133,74.2540
134,73.7897
135,73.4762
136,72.5635
137,71.2698
138,67.6468
139,65.8095
140,64.0794
141,63.2659
142,63.0238
143,61.2897
144,59.3968
145,58.5159
146,57.2222
147,55.7302
148,54.3651
149,53.1865
150,52.0040
151,50.0833
152,48.3571
153,47.4286
154,45.6349
155,45.1508
156,45.4643
157,45.9841
158,46.4802
159,45.7421
160,44.2817
161,42.6825
162,41.0437
163,40.3968
164,40.3532
165,40.6032
166,40.6151
167,40.0595
168,39.5833
169,39.1190
170,38.9841
171,38.3016
172,37.8175
173,37.6310
174,37.9603
175,38.3373
176,38.7262
177,38.9960
178,39.6151
179,39.8770
180,40.5198
181,41.0992
182,41.7937
183,42.6389
184,44.5159
185,46.6389
186,50.2540
187,51.2024
188,51.9643
189,52.3929
190,53.1905
191,54.6548
192,56.4524
193,57.9325
194,59.8254
195,61.5437
196,63.0238
197,63.8056
198,65.1508
199,67.4762
200,70.0992
201,71.6508
202,71.1548
203,71.7064
204,73.3254
205,75.5000
206,78.2341
207,80.2540
208,80.9325
209,80.8452
210,78.8016
211,78.5159
212,77.9841
213,77.9246
214,79.5119
215,81.1786
216,81.4484
217,80.0238
218,77.7222
219,75.2024
220,73.5238
221,72.7619
222,72.4643
223,70.8175
224,68.6706
225,66.8294
226,63.6825
227,62.3770
228,61.8095
229,60.8294
230,59.2500
231,57.8770
232,56.8770
233,55.4881
234,52.1548
235,50.7381
236,49.0437
237,46.9802
238,45.5238
239,44.6429
240,44.3770
241,43.9365
242,44.3492
243,43.9722
244,43.4484
245,42.3492
246,41.2421
247,40.5119
248,40.4325
