Distance_(pixels),Gray_Value
0,9.0328
1,9.5892
2,10.1372
3,10.5766
4,11.0800
5,11.6717
6,12.2374
7,12.6296
8,12.9832
9,13.6431
10,14.5816
11,15.2391
12,15.7155
13,16.0842
14,16.5480
15,17.0934
16,18.1456
17,18.5244
18,18.8165
19,18.8939
20,19.1103
21,19.4554
22,19.8670
23,20.1372
24,19.8140
25,19.9024
26,20.0732
27,19.9739
28,19.6987
29,19.2357
30,19.0076
31,18.7786
32,18.3552
33,18.0303
34,17.6961
35,17.3779
36,17.3712
37,17.5581
38,17.4596
39,17.0741
40,16.0993
41,15.4764
42,14.8165
43,14.3224
44,13.9520
45,13.6178
46,13.3325
47,12.9832
48,12.5816
49,12.3064
50,12.1591
51,12.1364
52,12.1448
53,12.1338
54,12.0598
55,11.9285
56,11.5109
57,11.2441
58,11.2020
59,11.2837
60,11.3005
61,11.2921
62,11.2820
63,11.1995
64,11.2096
65,11.2702
66,11.4891
67,11.7306
68,11.9773
69,12.0724
70,12.1094
71,12.0421
72,12.0387
73,12.3628
74,13.0034
75,13.5758
76,14.1288
77,14.4747
78,14.8418
79,15.1052
80,15.8266
81,16.6566
82,17.7088
83,18.2180
84,18.6751
85,19.5673
86,21.2340
87,22.7104
88,24.1675
89,24.8594
90,25.9916
91,27.1902
92,28.2567
93,29.0522
94,29.9722
95,30.8771
96,32.2879
97,33.4798
98,35.2963
99,37.0918
100,39.0042
101,40.3965
102,40.9672
103,41.0034
104,41.1591
105,42.0648
106,43.9394
107,45.1288
108,45.6776
109,45.8266
110,46.0135
111,46.2121
112,46.8131
113,46.7845
114,47.0446
115,47.2837
116,47.5522
117,47.4604
118,47.6734
119,47.8005
120,47.4175
121,47.4184
122,47.3333
123,46.7685
124,46.4209
125,46.0076
126,45.1658
127,44.2205
128,42.3796
129,41.3527
130,40.6330
131,40.3653
132,40.6288
133,40.4167
134,40.0421
135,39.4949
136,37.3519
137,35.9983
138,34.8779
139,34.1271
140,33.7315
141,32.9798
142,32.0850
143,31.2121
144,30.1322
145,29.6246
146,29.5311
147,29.5379
148,29.9184
149,29.6372
150,28.8190
151,27.6254
152,26.5598
153,26.1423
154,26.0177
155,25.9327
156,26.1204
157,26.2416
158,26.4731
159,26.5791
160,26.7130
161,26.8232
162,27.0118
163,26.8662
164,26.6389
165,26.3948
166,26.4933
167,26.6919
168,27.5059
169,27.9411
170,28.6279
171,29.2576
172,30.1785
173,31.3460
174,32.6322
175,33.7811
176,35.4251
177,36.0791
178,36.6305
179,36.8047
180,37.0505
181,37.7273
182,38.9924
183,40.0816
184,41.0168
185,41.3636
186,41.8813
187,42.5261
188,43.8300
189,45.3409
190,47.0210
191,47.8822
192,48.1852
193,47.9226
194,47.8754
195,48.3123
196,49.7374
197,51.4621
198,52.6246
199,52.9141
200,52.1759
201,51.7492
202,51.2694
203,51.1153
204,51.7130
205,52.4857
206,53.1574
207,53.2130
208,52.6886
209,51.7247
210,51.2146
211,50.8662
212,50.5135
213,49.9933
214,49.4192
215,48.8889
216,47.9924
217,48.0227
218,47.7483
219,46.6448
220,45.4529
221,44.3056
222,43.3973
223,42.6692
224,41.1423
225,40.3190
226,39.3577
227,37.9024
228,36.2744
229,34.7988
230,33.9857
231,33.5741
232,33.6145
233,33.3131
234,33.1221
235,32.5884
236,31.9108
237,30.9806
238,30.2315
239,29.5572
240,28.8022
241,28.2348
242,28.0732
243,28.0875
244,28.5875
245,29.0076
246,29.4806
247,29.5825
248,29.4259
249,29.2180
250,29.0438
251,28.7963
252,28.8880
253,29.2601
254,29.9933
255,30.5766
256,31.0732
257,31.2837
258,32.0968
259,33.0093
260,33.7466
261,34.0732
262,34.5236
263,35.0985
264,36.6894
265,37.7845
266,39.3039
267,40.2736
268,40.9554
269,41.2407
270,41.4554
271,41.6086
272,41.9806
273,43.0126
274,45.1700
275,47.3788
276,49.2811
277,50.1742
278,50.3199
279,50.2399
280,50.1120
281,50.1860
282,50.9503
283,51.7256
284,52.6288
285,53.3375
286,53.8779
287,54.1641
288,53.9444
289,54.3493
290,54.7955
291,54.2988
292,53.7003
293,53.2130
294,52.9891
295,52.8392
296,53.3603
297,53.6229
298,54.0194
299,53.7096
300,52.7778
301,51.3359
302,50.0606
303,49.4714
304,49.5328
305,48.8359
306,48.0581
307,47.3779
308,47.1970
309,47.0648
310,46.6902
311,45.8721
312,44.4596
313,43.4125
314,41.6187
315,39.4697
316,38.1692
317,37.4040
318,36.8561
319,36.3897
320,35.9495
321,35.7609
322,35.3359
323,34.0825
324,32.8771
325,31.8157
326,31.2778
327,30.8544
328,30.2029
329,29.8535
330,29.4520
331,28.8039
332,28.4066
333,28.0724
334,28.1330
335,28.1877
336,28.3232
337,28.0749
338,27.9461
339,27.7921
340,27.5749
341,27.2088
342,26.9057
343,26.7736
344,26.6128
345,26.7054
346,26.9579
347,27.0800
348,27.1987
349,27.3603
350,27.7635
351,28.0665
352,28.3897
353,28.6843
354,29.4074
355,29.9444
356,30.6684
357,31.4604
358,32.5370
359,33.4200
360,34.4402
361,35.1928
362,35.9234
363,36.6288
364,38.0370
365,39.2710
366,40.3476
367,41.0690
368,41.7332
369,42.7189
370,44.2290
371,45.5059
372,46.8182
373,47.9747
374,49.1759
375,50.2104
376,51.4209
377,51.8569
378,52.5707
379,52.9916
380,53.4697
381,54.0581
382,54.8897
383,55.8308
384,56.7281
385,57.0210
386,57.1877
387,56.8468
388,56.5976
389,56.2247
390,55.7079
391,55.1077
