Distance_(pixels),Gray_Value
0,29.4272
1,29.0914
2,28.7095
3,28.0914
4,27.7176
5,27.3989
6,27.4636
7,27.5162
8,27.6294
9,27.3908
10,27.2670
11,27.1189
12,26.9183
13,26.5663
14,26.2816
15,26.1545
16,26.0502
17,26.1367
18,26.3908
19,26.4976
20,26.6294
21,26.8010
22,27.2087
23,27.5146
24,27.9790
25,28.2872
26,29.0065
27,29.5129
28,30.1885
29,30.9490
30,32.0178
31,32.8956
32,33.9417
33,34.6982
34,35.4628
35,36.2095
36,37.6416
37,38.8972
38,39.9879
39,40.7079
40,41.2201
41,42.1683
42,43.6189
43,44.8002
44,46.0162
45,47.0979
46,48.2727
47,49.2945
48,50.3552
49,50.7087
50,51.2961
51,51.6408
52,52.0558
53,52.5736
54,53.3350
55,54.1893
56,54.9879
57,55.2516
58,55.4013
59,55.0356
60,54.7516
61,54.3455
62,53.8026
63,53.2023
64,52.6076
65,52.3236
66,52.2193
67,52.0615
68,52.1958
69,52.0801
70,51.7249
71,50.9871
72,48.6610
73,46.8455
74,45.3422
75,44.4118
76,44.2702
77,44.3398
78,44.6942
79,44.8115
80,44.3309
81,43.5825
82,42.4523
83,41.2217
84,40.2969
85,39.4684
86,38.3932
87,37.2945
88,36.1383
89,35.3180
90,34.5202
91,33.5939
92,33.0267
93,32.6254
94,32.2937
95,31.8641
96,30.9968
97,30.7112
98,30.7079
99,30.7419
100,30.8835
101,30.8552
102,30.8406
103,30.7120
104,30.3762
105,29.8633
106,29.6707
107,29.8625
108,30.3317
109,30.7330
110,31.3471
111,31.7573
112,32.4280
113,32.7654
114,33.4790
115,34.3026
116,35.2500
117,36.1157
118,36.9515
119,37.3932
120,37.5801
121,37.9838
122,39.0672
123,40.0372
124,41.1942
125,42.4240
126,43.9426
127,45.0485
128,45.1869
129,45.0429
130,45.1699
131,45.5607
132,46.5421
133,47.9968
134,50.1440
135,51.9628
136,53.6165
137,54.7694
138,56.3795
139,57.6448
140,58.4426
141,58.6659
142,58.5138
143,58.2994
144,58.5332
145,59.1812
146,60.0607
147,60.3042
148,60.4628
149,60.4563
150,60.1731
151,59.7209
152,58.4223
153,57.3689
154,56.8625
155,56.4547
156,55.9757
157,55.0502
158,54.0995
159,53.3714
160,52.1926
161,51.0178
162,50.3689
163,49.9741
164,49.4337
165,48.5485
166,47.8997
167,47.4191
168,46.7905
169,45.7338
170,44.4029
171,43.2152
172,42.4547
173,41.8754
174,41.4409
175,40.9684
176,39.5639
177,38.4385
178,37.6125
179,37.2152
180,37.0987
181,36.5566
182,35.6667
183,34.9782
184,34.1529
185,33.6634
186,33.4118
187,33.1513
188,33.1853
189,33.3665
190,33.6068
191,33.5526
192,32.8746
193,32.3309
194,31.9701
195,31.8220
196,31.9846
197,32.0243
198,32.1481
199,32.1974
200,32.6278
201,33.1173
202,33.8972
203,34.1262
204,34.1084
205,34.0210
206,34.2152
207,34.5307
208,35.4466
209,36.1286
210,37.3973
211,38.4175
212,39.3366
213,39.7905
214,40.1197
215,40.4296
216,41.4320
217,42.3997
218,43.0858
219,43.2945
220,44.0825
221,45.8147
222,48.3746
223,50.2735
224,51.4927
225,52.3301
226,53.6230
227,54.6812
228,55.8228
229,56.3358
230,56.1772
231,55.7613
232,55.2193
233,55.2953
234,55.8706
235,56.0680
236,56.4337
237,56.9053
238,57.5299
239,58.0227
240,58.8374
241,59.1448
242,58.6400
243,57.3422
244,56.6432
245,55.9223
246,55.1618
247,54.3900
248,53.3803
249,53.0405
250,52.9070
251,52.2201
252,51.3325
253,50.4223
254,49.3673
255,48.1303
256,47.1828
257,46.1513
258,45.0623
259,43.8479
260,42.9725
261,42.3503
262,42.1416
263,41.8091
264,40.2799
265,38.9175
266,37.8608
267,37.1837
268,36.9061
269,36.6311
270,36.1877
271,35.6335
272,34.5024
273,33.3422
274,32.4223
275,31.9328
276,31.8172
277,31.6529
278,31.4935
279,31.1448
280,30.9345
281,30.7654
282,30.8560
283,30.7225
284,30.7273
285,30.6570
286,30.5639
287,30.4304
288,29.7597
289,29.6699
290,29.9701
291,30.2395
292,30.6375
293,30.8892
294,31.3633
295,31.5833
296,32.7306
297,33.6432
298,34.6100
299,34.7144
300,34.4871
301,34.4045
302,34.7427
303,35.1683
304,36.1206
305,36.8600
306,37.9935
307,39.1173
308,40.4272
309,41.5307
310,42.3859
311,42.9717
312,44.0696
313,44.9498
314,46.3374
315,47.3649
316,48.4960
317,49.3795
318,50.1335
319,50.7557
320,51.5388
321,52.1448
322,53.4183
323,54.6003
324,55.5186
325,55.8495
326,55.9668
327,56.0162
328,56.0073
329,56.0534
330,56.8366
331,57.4288
332,57.8811
333,57.6731
334,57.0833
335,56.5663
336,56.3568
337,55.5858
338,55.0841
339,54.5744
340,54.0388
341,53.1570
342,52.2807
343,51.3301
344,49.5057
345,48.6926
346,48.2856
347,47.7265
348,46.9749
349,45.5591
350,43.8252
351,42.3252
352,40.1667
353,38.8269
354,37.5623
355,36.4709
356,35.8536
357,35.2994
358,34.8544
359,34.5162
360,33.6343
361,32.8592
362,32.1861
363,31.4458
364,30.9288
365,30.4377
366,30.0477
367,29.6197
