Distance_(cm)	Gray_Value
0.00000	11.9249
0.00223	12.6351
0.00446	13.8093
0.00669	14.7838
0.00892	15.9024
0.01115	16.5045
0.01338	16.9880
0.01561	17.1622
0.01784	17.4144
0.02007	17.4685
0.02230	17.7207
0.02453	17.6697
0.02676	17.8468
0.02899	18.0075
0.03122	18.2793
0.03345	18.6532
0.03568	19.3619
0.03791	20.1787
0.04014	21.2838
0.04238	22.3153
0.04461	23.9610
0.04684	25.4505
0.04907	27.5661
0.05130	29.9384
0.05353	33.0435
0.05576	35.7492
0.05799	37.8859
0.06022	39.2568
0.06245	40.0856
0.06468	40.3498
0.06691	40.4459
0.06914	40.1171
0.07137	39.9474
0.07360	40.0015
0.07583	40.4820
0.07806	40.9309
0.08029	41.8844
0.08252	42.4204
0.08475	43.3048
0.08698	43.8063
0.08921	44.4715
0.09144	44.5976
0.09367	44.7808
0.09590	44.7643
0.09813	45.2357
0.10036	45.8093
0.10259	46.9745
0.10482	47.6126
0.10705	48.4970
0.10928	49.4489
0.11151	50.9730
0.11374	52.6186
0.11597	54.9309
0.11820	57.2177
0.12043	58.9099
0.12267	60.2492
0.12490	61.6441
0.12713	62.2808
0.12936	63.0946
0.13159	63.6051
0.13382	63.8709
0.13605	63.6622
0.13828	63.1516
0.14051	62.3063
0.14274	62.0435
0.14497	62.2027
0.14720	62.8604
0.14943	63.5390
0.15166	63.8529
0.15389	64.2387
0.15612	64.5285
0.15835	64.8153
0.16058	65.5616
0.16281	66.5495
0.16504	67.6006
0.16727	68.2372
0.16950	68.7282
0.17173	68.9730
0.17396	69.2147
0.17619	69.1967
0.17842	69.2763
0.18065	69.1637
0.18288	68.7808
0.18511	68.1997
0.18734	67.7898
0.18957	67.5090
0.19180	67.5946
0.19403	67.9790
0.19626	68.4850
0.19849	69.1396
0.20072	70.0751
0.20295	70.9069
0.20519	71.7988
0.20742	72.5510
0.20965	73.6081
0.21188	74.2643
0.21411	74.6547
0.21634	74.7417
0.21857	74.8363
0.22080	74.6547
0.22303	74.6607
0.22526	74.5976
0.22749	74.3904
0.22972	73.6937
0.23195	72.4459
0.23418	71.4279
0.23641	70.6111
0.23864	70.3499
0.24087	70.4459
0.24310	70.6336
0.24533	70.6171
0.24756	70.0150
0.24979	69.4520
0.25202	69.2628
0.25425	69.5480
0.25648	70.1081
0.25871	70.5210
0.26094	70.6441
0.26317	70.1036
0.26540	69.3318
0.26763	68.2658
0.26986	67.5060
0.27209	66.5991
0.27432	65.9459
0.27655	65.5345
0.27878	65.1126
0.28101	64.6456
0.28324	64.2372
0.28548	63.7117
0.28771	62.9910
0.28994	62.3483
0.29217	61.8138
0.29440	61.0991
0.29663	60.5405
0.29886	59.8303
0.30109	58.9925
0.30332	58.0616
0.30555	56.9730
0.30778	55.8649
0.31001	54.8018
0.31224	54.0736
0.31447	53.5435
0.31670	53.2898
0.31893	53.3589
0.32116	53.1532
0.32339	52.5796
0.32562	51.5225
0.32785	50.4429
0.33008	49.2432
0.33231	48.5766
0.33454	48.0135
0.33677	47.7402
0.33900	47.5676
0.34123	47.7222
0.34346	47.8934
0.34569	48.0526
0.34792	48.2057
0.35015	48.3979
0.35238	48.5495
0.35461	48.7387
0.35684	48.9610
0.35907	49.0165
0.36130	48.9369
0.36353	48.8078
0.36576	48.4505
0.36800	48.0450
0.37023	47.4249
0.37246	46.8664
0.37469	46.2162
0.37692	45.8063
0.37915	45.4745
0.38138	45.3048
0.38361	45.0180
0.38584	44.6682
0.38807	44.1547
0.39030	43.7222
0.39253	43.3468
0.39476	43.1096
0.39699	42.9459
0.39922	43.0285
0.40145	43.4039
0.40368	43.9129
0.40591	44.5931
0.40814	44.9625
0.41037	45.3814
0.41260	45.5736
0.41483	45.5631
0.41706	45.4084
0.41929	45.4610
0.42152	45.4610
0.42375	45.4610
0.42598	45.5946
0.42821	45.7868
0.43044	45.9940
0.43267	46.2883
0.43490	46.5991
0.43713	46.9129
0.43936	47.0330
0.44159	47.3889
0.44382	47.3183
0.44605	47.3318
0.44829	47.2267
0.45052	47.0826
0.45275	46.9294
0.45498	46.8514
0.45721	46.7417
0.45944	46.8198
0.46167	46.7357
0.46390	46.7267
0.46613	46.6952
0.46836	46.8153
0.47059	46.9459
0.47282	47.4580
0.47505	48.2207
0.47728	49.1336
0.47951	49.7523
0.48174	50.4024
0.48397	50.7643
0.48620	51.2132
0.48843	51.4069
0.49066	51.3604
0.49289	51.3288
0.49512	51.3108
0.49735	51.1862
0.49958	51.1802
0.50181	51.2447
0.50404	51.6426
0.50627	51.9024
0.50850	52.3964
0.51073	52.8243
0.51296	53.4114
0.51519	53.4505
0.51742	53.4159
0.51965	52.6667
0.52188	51.9535
0.52411	51.1667
0.52634	50.8348
0.52857	50.7913
0.53081	51.5796
0.53304	52.6366
0.53527	54.8048
0.53750	57.0330
0.53973	59.6802
0.54196	61.6592
0.54419	63.4550
0.54642	64.4429
0.54865	64.7177
0.55088	64.3258
0.55311	63.4505
0.55534	62.3063
0.55757	61.7237
0.55980	61.3408
0.56203	61.4820
0.56426	61.6622
0.56649	62.4414
0.56872	63.2177
0.57095	64.2748
0.57318	64.7057
0.57541	64.7733
0.57764	64.5465
0.57987	64.2237
0.58210	63.9099
0.58433	63.5165
0.58656	63.1186
0.58879	62.8018
0.59102	62.4925
0.59325	62.4084
0.59548	62.4279
0.59771	62.8063
0.59994	63.5571
0.60217	64.3964
0.60440	65.3709
0.60663	66.8559
0.60886	68.0946
0.61110	69.2778
0.61333	70.0856
0.61556	70.6171
0.61779	70.5856
0.62002	70.2643
0.62225	69.3048
0.62448	68.2417
0.62671	67.4730
0.62894	66.9444
0.63117	66.5360
0.63340	66.0721
0.63563	65.8453
0.63786	65.7778
0.64009	65.8168
0.64232	66.0691
0.64455	66.2898
0.64678	66.7793
0.64901	67.3468
0.65124	67.9069
0.65347	68.1276
0.65570	68.7883
0.65793	69.2432
0.66016	70.1201
0.66239	70.6892
0.66462	71.4279
0.66685	71.9565
0.66908	72.4760
0.67131	72.4535
0.67354	72.6006
0.67577	72.6126
0.67800	72.7538
0.68023	72.6772
0.68246	72.8513
0.68469	73.0255
0.68692	73.3228
0.68915	73.3604
0.69138	73.6186
0.69362	73.3814
0.69585	73.3063
0.69808	72.8979
0.70031	72.2838
0.70254	71.8438
0.70477	71.7282
0.70700	71.5886
0.70923	72.0556
0.71146	72.8423
0.71369	74.0826
0.71592	75.0796
0.71815	76.3799
0.72038	77.5285
0.72261	78.8559
0.72484	80.0465
0.72707	81.8438
0.72930	82.5465
0.73153	83.2778
0.73376	83.4850
0.73599	83.2538
0.73822	82.5225
0.74045	81.5510
0.74268	80.3934
0.74491	79.9670
0.74714	79.5345
0.74937	79.3919
0.75160	79.1411
0.75383	78.4069
0.75606	77.3619
0.75829	75.9865
0.76052	74.8378
0.76275	73.3664
0.76498	72.3408
0.76721	71.4414
0.76944	71.5541
0.77167	72.2973
0.77390	73.1667
0.77614	73.9745
0.77837	74.3934
0.78060	74.8063
0.78283	74.8709
0.78506	74.8889
0.78729	74.5781
0.78952	74.0330
0.79175	73.4339
0.79398	72.7072
0.79621	72.1081
0.79844	71.7958
0.80067	71.9655
0.80290	72.5090
0.80513	73.3168
0.80736	74.1126
0.80959	75.1036
0.81182	75.8213
0.81405	75.9940
0.81628	75.1712
0.81851	73.6471
0.82074	72.2598
0.82297	70.8934
0.82520	69.5706
0.82743	68.5601
0.82966	67.5526
0.83189	67.0811
0.83412	66.5661
0.83635	66.1592
0.83858	65.4174
0.84081	64.5556
0.84304	63.6186
0.84527	62.5646
0.84750	61.1697
0.84973	59.9730
0.85196	58.8664
0.85419	58.1441
0.85643	57.4264
0.85866	56.8964
0.86089	56.0886
0.86312	55.1667
0.86535	53.9685
0.86758	53.2447
0.86981	52.7072
0.87204	52.5556
0.87427	52.4369
0.87650	52.1517
0.87873	51.7117
0.88096	51.0556
0.88319	50.4474
0.88542	49.9129
0.88765	49.4625
0.88988	49.2312
0.89211	49.0976
0.89434	49.1502
0.89657	49.3679
0.89880	49.7883
0.90103	50.0646
0.90326	50.1697
0.90549	50.2192
0.90772	49.9039
0.90995	49.4505
0.91218	48.6742
0.91441	47.9384
0.91664	47.3153
0.91887	46.8003
0.92110	46.4880
0.92333	46.3063
0.92556	46.3168
0.92779	46.3453
0.93002	46.5405
0.93225	46.9219
0.93448	47.4865
0.93671	48.0375
0.93895	48.4429
0.94118	48.9009
0.94341	49.1396
0.94564	49.4324
0.94787	49.8453
0.95010	50.5375
0.95233	51.0916
0.95456	51.9009
0.95679	52.6862
0.95902	53.7102
0.96125	54.6021
0.96348	55.3243
0.96571	55.7883
0.96794	56.3604
0.97017	56.6216
0.97240	56.5916
0.97463	56.4775
0.97686	56.1411
0.97909	55.6321
0.98132	54.9309
0.98355	54.1832
0.98578	53.7598
0.98801	53.6817
0.99024	53.9039
0.99247	54.1021
0.99470	54.7643
0.99693	55.3664
0.99916	56.1066
1.00139	56.4384
1.00362	56.6982
1.00585	56.7583
1.00808	56.8138
1.01031	56.7237
1.01254	56.6847
1.01477	56.5586
1.01700	56.6111
1.01924	56.6381
1.02147	56.5586
1.02370	56.4309
1.02593	55.9760
1.02816	55.3664
1.03039	54.9459
1.03262	54.7162
1.03485	54.8318
1.03708	55.1667
1.03931	55.7207
1.04154	56.3694
1.04377	57.2823
1.04600	57.9850
1.04823	58.5661
1.05046	58.8949
1.05269	59.1171
1.05492	58.8964
1.05715	58.3318
1.05938	57.4850
1.06161	56.6411
1.06384	55.9670
1.06607	55.5586
1.06830	54.9520
1.07053	54.5150
1.07276	53.9850
1.07499	53.6997
1.07722	53.7192
1.07945	54.5435
1.08168	55.5676
1.08391	57.1922
1.08614	58.6216
1.08837	60.0901
1.09060	60.6697
1.09283	61.2102
1.09506	61.2763
1.09729	61.4204
1.09952	61.4505
1.10176	61.9580
1.10399	62.2838
1.10622	62.9039
1.10845	63.4429
1.11068	64.3739
1.11291	65.0676
1.11514	66.4204
1.11737	67.4520
1.11960	68.6441
1.12183	69.6937
1.12406	70.8874
1.12629	71.8604
1.12852	73.4069
1.13075	74.6141
1.13298	75.9159
1.13521	77.0976
1.13744	78.3153
1.13967	78.6066
1.14190	78.3033
1.14413	76.8003
1.14636	74.5300
1.14859	72.6592
1.15082	71.0255
1.15305	69.7027
1.15528	69.2372
1.15751	69.3829
1.15974	70.3739
1.16197	72.0195
1.16420	74.0961
1.16643	75.5150
1.16866	76.7538
1.17089	77.7057
1.17312	78.4459
1.17535	78.7177
1.17758	78.6757
1.17981	78.5706
1.18205	78.9550
1.18428	78.9775
1.18651	79.4144
1.18874	79.7447
1.19097	80.2613
1.19320	80.6967
1.19543	81.7042
1.19766	82.1441
1.19989	82.9550
1.20212	83.5210
1.20435	84.3138
1.20658	84.9610
1.20881	86.0946
1.21104	87.0571
1.21327	88.3949
1.21550	89.6246
1.21773	91.1066
1.21996	92.1411
1.22219	93.4264
1.22442	93.9805
1.22665	94.6111
1.22888	94.9189
1.23111	94.8799
1.23334	94.6577
1.23557	94.3123
1.23780	93.4985
1.24003	92.7568
1.24226	91.9895
1.24449	91.4490
1.24672	90.6832
1.24895	90.6096
1.25118	90.5721
1.25341	90.9565
1.25564	91.6547
1.25787	92.2462
1.26010	92.5856
1.26233	92.5826
1.26457	92.3949
1.26680	92.2763
1.26903	92.4414
1.27126	92.7628
1.27349	92.8844
1.27572	93.1336
1.27795	92.9850
1.28018	92.7943
1.28241	92.4910
1.28464	91.5225
1.28687	90.5751
1.28910	89.7748
1.29133	89.0916
1.29356	89.0015
1.29579	88.8724
1.29802	88.9745
1.30025	88.7523
1.30248	88.4580
1.30471	88.2462
1.30694	88.0135
1.30917	87.6216
1.31140	87.3363
1.31363	87.2507
1.31586	87.8889
1.31809	88.3183
1.32032	88.9429
1.32255	89.1426
1.32478	88.9925
1.32701	88.6682
1.32924	87.9550
1.33147	87.0556
1.33370	85.8559
1.33593	84.6697
1.33816	83.5465
1.34039	82.7748
1.34262	82.1802
1.34486	81.9760
1.34709	82.0360
1.34932	82.4174
1.35155	82.6261
1.35378	82.4625
1.35601	82.1487
1.35824	81.2162
1.36047	79.8408
1.36270	78.3048
1.36493	76.0856
1.36716	74.1532
1.36939	72.2192
1.37162	70.5496
1.37385	68.8649
1.37608	67.7462
1.37831	66.8949
1.38054	66.3604
1.38277	65.5661
1.38500	64.3844
1.38723	62.6607
1.38946	61.2102
1.39169	59.9399
1.39392	59.4775
1.39615	59.0796
1.39838	58.7462
1.40061	58.2012
1.40284	57.2117
1.40507	56.0270
1.40730	55.0465
1.40953	54.0075
1.41176	53.1096
1.41399	52.2477
1.41622	51.6171
1.41845	51.1502
1.42068	50.7598
1.42291	50.4910
1.42514	50.0871
1.42738	49.5646
1.42961	49.0150
1.43184	48.4489
1.43407	47.6952
1.43630	46.7898
1.43853	46.1577
1.44076	45.2117
1.44299	44.2252
1.44522	43.0856
1.44745	41.8634
1.44968	40.8829
1.45191	40.1502
1.45414	39.9670
1.45637	40.0901
1.45860	40.7643
1.46083	41.5240
1.46306	42.6712
1.46529	43.6186
1.46752	44.6847
1.46975	45.6517
1.47198	46.4670
1.47421	47.0165
1.47644	47.3318
1.47867	47.3243
1.48090	47.0976
1.48313	46.7763
1.48536	46.5015
1.48759	46.0946
1.48982	45.8468
1.49205	45.6051
1.49428	45.4204
1.49651	45.3453
1.49874	45.4685
1.50097	46.0811
1.50320	47.3919
1.50543	48.9054
1.50767	50.7462
1.50990	52.0090
1.51213	53.0210
1.51436	53.6832
1.51659	54.2913
1.51882	54.4850
1.52105	54.6667
1.52328	54.8649
1.52551	55.3619
1.52774	55.9535
1.52997	56.7447
1.53220	56.9820
1.53443	57.0526
1.53666	56.8874
1.53889	56.2508
1.54112	55.2838
1.54335	54.2718
1.54558	53.3514
1.54781	52.8033
1.55004	52.7598
1.55227	53.0916
1.55450	53.5676
1.55673	54.1817
1.55896	54.7162
1.56119	55.1862
1.56342	55.2477
1.56565	55.1622
1.56788	54.9114
1.57011	54.6997
1.57234	54.5390
1.57457	54.7868
1.57680	54.9084
1.57903	54.5315
1.58126	54.3048
1.58349	53.7297
1.58572	53.2342
1.58795	52.6156
1.59019	52.1231
1.59242	51.8138
1.59465	51.7673
1.59688	52.1937
1.59911	52.8048
1.60134	53.7057
1.60357	54.3994
1.60580	55.1997
1.60803	55.7372
1.61026	55.9790
1.61249	56.0541
1.61472	56.1396
1.61695	56.0210
1.61918	56.0045
1.62141	56.0931
1.62364	56.3003
1.62587	56.5691
1.62810	57.0480
1.63033	57.4910
1.63256	57.8288
1.63479	57.6982
1.63702	57.7087
1.63925	57.4354
1.64148	57.2598
1.64371	56.8724
1.64594	56.8303
1.64817	56.7342
1.65040	56.7583
1.65263	56.7222
1.65486	57.2988
1.65709	58.3904
1.65932	60.8198
1.66155	63.5255
1.66378	66.5586
1.66601	68.7778
1.66824	71.0120
1.67048	72.4189
1.67271	73.1952
1.67494	72.7793
1.67717	72.0510
1.67940	71.0886
1.68163	70.7853
1.68386	70.8198
1.68609	70.9835
1.68832	70.9775
1.69055	70.8108
1.69278	70.4580
1.69501	70.7312
1.69724	71.0781
1.69947	72.2087
1.70170	73.3859
1.70393	74.5646
1.70616	75.5631
1.70839	76.8108
1.71062	77.9009
1.71285	78.8769
1.71508	79.8258
1.71731	81.0916
1.71954	81.8303
1.72177	82.8378
1.72400	83.5015
1.72623	83.9354
1.72846	84.0060
1.73069	83.9339
1.73292	83.5060
1.73515	83.3108
